Track,Author,Platform,URL,Quote,Sentiment
5,Roisin O'Connor & Elizabeth Aubrey,The Independent,https://www.independent.co.uk/arts-entertainment/music/reviews/metallica-blacklist-review-common-album-b1916443.html,Rina Sawayama is an <genre>industrial queen</genre> in a maelstrom of <instrumentation>crunchy riffs and chugging bass.</instrumentation>,1
5,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,<genre>pop-industrial</genre> (Rina Sawayama's "Enter Sandman"),1
5,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,Rina Sawayama turns the same song into a <genre>thrash/dance tune.</genre>,1
5,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"In the battle for 'Enter Sandman', Rina Sawayama's <genre>crazed electro-storm</genre> ... triumphs",1
5,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,"The spirit of the release is better captured by the thumping, maximalist pop of Rina Sawayama's ""Enter Sandman""",1
6,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"It's not that Weezer's ""Sandman"" ... (among others) are bad; instead, they're simply uninteresting. <loyalty>They don't add anything new.</loyalty> ""It's a little stock,"" in other words. ",-1
6,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"But the hits outweigh the misses by a mile, especially when you've got <reputation>hitters like ... Weezer ... in the line-up</reputation>.",1
6,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,<memorability>Don't miss<memorability> more covers by ... Weezer,1
6,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Weezer's <instrumentation>power-chord overload</instrumentation,1
6,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,"Weezer, who scored an improbable hit in 2018 by covering Toto, <loyalty>sleepwalk through a carbon copy of ""Enter Sandman"" that follows the original note-for-note</loyalty> except when they interpolate a lick from ""Buddy Holly.""",-1
6,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,"Weezer doing ""Enter Sandman"" <reputation>sounds, well, exactly like Weezer</reputation> covering ""Enter Sandman""",1
7,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Both <interpretation>trump Sam Fender's soul effort</interpretation>,-1
8,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"Closely related, Jason Isbell and The 400 Unit turn Sad But True into a <genre>boozy roadhouse shakedown</genre>.",1
8,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,Jason Isbell and The 400 Unit ... throw their <genre>oversized cowboy hats in the ring</genre>.,1
8,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,but face stiff competition from Jason Isbell And The 400 Unit (<genre>demented skiffle rock</genre>),1
8,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,Jason Isbell and the 400 Unit turn "Sad But True" into a <genre>roots rave-up</genre>,1
9,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,but face stiff competition from ... the Mexican Institute Of Sound (<genre>carnival freak rave</genre>),1
10,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"It's not that ... Royal Blood's ""Sad,"" ... (among others) are bad; instead, <loyalty>they're simply uninteresting. They don't add anything new.</loyalty> ""It's a little stock,"" in other words. ",
10,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"But the hits outweigh the misses by a mile, especially when you've got <reputation>hitters like Royal Blood ... in the line-up</reputation>.",1
10,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,Royal Blood <proficiency>continue to sound bigger</proficiency> <reputation>than their two members</reputation> on a worshipful "Sad But True",1
10,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Royal Blood ... <loyalty>channelling faithful Kirk Hammett riffage</loyalty>,1
11,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,St. Vincent's <genre>hard-edged electro-rock version</genre> of "Sad But True" stand[s] out,1
11,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"Other notable performances include St. Vincent's <genre>smouldering, pseudo-industrial take</genre> on Sad But True ",1
11,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"St. Vincent is a confirmed metalhead, but her <genre>synth-pop ""Sad But True"" won't please metal fans</genre> or her own listeners. ",-1
11,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,St. Vincent ... taking it for an <genre>art-pop frolic</genre> through an <genre>industrial wasteland</genre>,1
11,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,St. Vincent creates <genre>hazy electro-rock weirdness</genre> with it,1
12,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,White Reaper's <instrumentation>chugging</instrumentation> take on "Sad But True" is <loyalty>especially true to form</loyalty>,1
12,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,The collection features everything from <loyalty>safe recreations</loyalty> (White Reaper's "Sad But True"),1
12,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,<memorability>Don't miss</memorability> more covers by ... White Reaper. ,1
14,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"Biffy Clyro's Holier Than Thou – an onslaught of <instrumentation>surging beats, razor-wire riffing</instrumentation> and a <composition>supernova-sized breakdown</composition>.",1
14,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Biffy Clyro make an early claim on 'Holier Than Thou' with a <interpretation>sophisticated yet brutal reading</interpretation> plus <composition>anthemic coda</composition>,1
15,Sam Walker-Smart,Clash,https://www.clashmusic.com/reviews/v-a-the-metallica-blacklist/,"Mad Aussies The Chats bring some <interpretation>snot and snarl</interpretation> to 'Holier Than Though,' morphing the original's bruising beat into a <genre>lost punk classic circa 1977</genre>.",1
15,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,only to be assaulted in a dark alleyway by <genre>speed-punk gangs</genre> The Chats,1
16,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,Off! turn in a positively blistering version that anyone unfamiliar with the original could credibly mistake for an <genre>old-school punk anthem</genre>.,1
16,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,<memorability>Don't miss</memorability> more covers by ... Off!,1
16,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,only to be assaulted in a dark alleyway by <genre>speed-punk gangs</genre> ... OFF!,1
17,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"Elsewhere, you get <genre>snotty garage rock</genre> (PUP's ""Holier Than Thou Art"")",1
17,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,<genre>Don't miss</genre> more covers by Pup,1
17,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,only to be assaulted in a dark alleyway by <genre>speed-punk gangs</genre> ... PUP,1
18,Roisin O'Connor & Elizabeth Aubrey,The Independent,https://www.independent.co.uk/arts-entertainment/music/reviews/metallica-blacklist-review-common-album-b1916443.html,<reputation>Slipknot frontman</reputation> Corey Taylor's gut-wrenching roars on "Holier Than Thou" are <reputation>just as impressive as James Hetfield's</reputation>.,1
18,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"Additionally, there are also some nifty moments—like the <composition>""Whiplash"" tease at the end of Corey Taylor's ... ""Holier,""</composition>",1
18,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"Corey Taylor's <memorability>otherwise-pedestrian</memorability> take on ""Holier,""",-1
18,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"But the hits outweigh the misses by a mile, especially when you've got <reputation>hitters like ... Corey Taylor</reputation> in the line-up.",1
18,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,<reputation>Corey Taylor sounds like Corey Taylor</reputation> on "Holier Than Thou",1
18,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"before having it ferociously wrestled from their grasp to present to their <reputation>ruler and ringleader, Corey Taylor</reputation>",1
18,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,"Slipknot's Corey Taylor clearly loves ""Holier Than Thou,"" but his <loyalty>note-perfect interpretation feels out of place</loyalty>.",-1
19,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"Cage The Elephant's <interpretation>take on 'The Unforgiven',</interpretation> giving James Hetfield's struggles with religion upon his mother's death a <genre>cultured psych-rock soundtrack</genre>, does the trick straight off the bat.",1
20,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,<genre>Indian electronica and rap</genre> ("The Unforgiven" from Vishal Dadlani and DIVINE),1
20,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"Bollywood legend Vishal Dadlani valiantly takes on ""The Unforgiven"", but it's too sappy to be worth more than one listen.",-1
20,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Yet further variants on the <genre>doom ballad theme from the likes of Vishal Dadlani & Divine (intense)</genre> ... feel like vast overkill.,-1
21,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"Diet Cig <interpretation>sounds like Phoebe Bridgers if she listened to more Wolf Alice</interpretation>, but somehow not as cool as that should be.",-1
21,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Yet further variants on the <genre>doom ballad theme from the likes of ... Diet Cig (grungy)</genre> ... feel like vast overkill.,-1
22,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"...nifty moments—like... <composition>Meechy Darko's song-stealing verse</composition> during Flatbush Zombies's ""The Unforgiven,""",1
22,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Flatbush Zombies turn 'The Unforgiven' into <genre>gnarled electro-rap</genre>,1
22,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,"Flatbush Zombies build a <genre>woozy hip-hop epic</genre> <composition>around a pitch-shifted sample</composition> of ""The Unforgiven,"" splashing <interpretation>wrenchingly autobiographical verses</interpretation> on James Hetfield's vaguely anti-authoritarian canvas.",1
23,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,Ha*Ash's version of The Unforgiven – a <genre>dreamy slice of acoustic balladry</genre> that feels like the theme to a mythic quest.,1
23,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Yet further variants on the <genre>doom ballad theme from the likes of ... Ha*Ash (folk-poppy)</genre> ... feel like vast overkill.,-1
25,Sam Walker-Smart,Clash,https://www.clashmusic.com/reviews/v-a-the-metallica-blacklist/,"Ghanaian-American singer-songwriter Moses Sumney brings <interpretation>soul and pathos</interpretation> to 'The Unforgiven,' a true highlight and the most beautiful moment of the set. ",1
25,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,Moses Sumney's <interpretation>delicate and achingly beautiful take</interpretation> on "The Unforgiven",1
25,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Yet further variants on the <genre>doom ballad theme from the likes of ... Moses Sumney (soulful and fiddly-fingered)</genre> feel like vast overkill.,-1
25,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,and the <interpretation>disquieting beauty</genre> of Moses Sumney's "The Unforgiven.",1
26,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,to left-field rejiggering (J Balvin's <genre>rap reimagining</genre> of "Wherever I May Roam"),1
26,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,...nifty moments—like... Tainy's <composition>nice-trick production for J Balvin's "Wherever" that cuts up the original's guitar solo into its own hook and then morphs it into an emergency siren</composition>,1
26,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"But by the time J Balvin is <genre>rapping</genre> ""Wherever I May Roam"" in Spanish, all bets are off.",1
26,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,[T]here's a refreshing stretch where J Balvin ... <remould[s] the eastern textures of 'Wherever I May Roam' into </genre>modernist dancefloor destroyers</genre>,1
26,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,<reputation>Reggaeton hitmaker</reputation> J Balvin drops off a version of "Wherever I May Roam" <proficiency>so half-assed that it seems like he accidentally delivered the demo.</proficiency>,-1
27,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"Chase & Status bring in Background Gee for Wherever I May Roam, showcasing some <genre>filthy hip hop grooves</genre>",1
27,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,Chase & Status bring in Background Gee for Wherever I May Roam ... but [leave] listeners waiting for a huge payoff that never arrives.,-1
27,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,[T]here's a refreshing stretch where ... Chase & Status ... remould the eastern textures of 'Wherever I May Roam' into </genre>modernist dancefloor destroyers</genre>,1
28,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,[T]here's a refreshing stretch ... The Neptunes ... remould the eastern textures of 'Wherever I May Roam' into </genre>modernist dancefloor destroyers</genre>,1
29,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,Jon Pardi throw[s his] <genre>oversized cowboy [hat]</genre> in the ring.,1
30,Roisin O'Connor & Elizabeth Aubrey,The Independent,https://www.independent.co.uk/arts-entertainment/music/reviews/metallica-blacklist-review-common-album-b1916443.html,French producer SebastiAn brings some <genre>Prince and George-Michael-indebted funk</genre> to "Don't Tread On Me",1
30,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,SebastiAn's stupid-fun <genre>disco-infused house</genre> <composition>mash-up</composition> of "Don't Tread On Me" and "Nothing Else Matters",1
30,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"French producer SebastiAn, ... throws himself fully into the concept by <composition>mashing up two tracks</composition> into an <genre>electro-orchestral funk frippery</genre> clumsily titled 'Don't Tread On Else Matters'.",1
31,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"Later, Portugal. The Man bring a certain <genre>Pac-Man element to their very metal</genre> 'Don't Tread On Me'",1
32,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"It's not that ... Volbeat's ""Don't Tread"" (among others) are bad; instead, <loyalty>they're simply uninteresting. They don't add anything new.</loyalty> ""It's a little stock,"" in other words. ",
32,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"Volbeat must be sick of all the comparisons by now, because their ""Don't Tread On Me"" features one of The Blacklist's <loyalty>most faithful renditions.</loyalty> ",1
33,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"Mongolian marauders The Hu check in with a slamming Through The Never, <interpretation>sung in their native tongue and played with the wild, surging ferocity of a bloodthirsty horde riding into battle</interpretation>.",1
33,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,But it's The Hu's <memorability>Mongolian-language "Through The Never"</memorability> that will send fans into fits of musical ecstasy.,1
34,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"<reputation>rising R&B star</reputation> Tomi Owó, whose version of ""Through The Never"" manages to <instrumentation>balance metal riffs with her angelic voice</instrumentation>.",1
35,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,Phoebe Bridgers' <interpretation>especially delicate reading</interpretation>,1
35,Sam Walker-Smart,Clash,https://www.clashmusic.com/reviews/v-a-the-metallica-blacklist/,"For something completely different, we have Phoebe Bridgers <genre>baroque-pop</genre> go at 'Nothing Else Matters,' <instrumentation>twinkling keys and somber strings</instrumentation> adding some welcome ambiance to the power ballad.",1
35,Roisin O'Connor & Elizabeth Aubrey,The Independent,https://www.independent.co.uk/arts-entertainment/music/reviews/metallica-blacklist-review-common-album-b1916443.html,"On ""Nothing Else Matters"", Bridgers opens with a <instrumentation>startlingly beautiful piano motif</instrumentation> reminiscent of Chilly Gonzales's delicate work. Where many have attempted to capture the imposing volume Metallica brought to The Black Album, Bridgers <interpretation>takes the stripped-down route, with magnificent results</interpretation>.",1
35,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"Phoebe Bridgers, whose <interpretation>stunning and haunting</interpretation> <genre>chamber music reading</genre> of ""Nothing"" is the best of the dozen ...",1
35,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,Phoebe Bridgers is here to chill things out with her <instrumentation>piano</instrumentation> and <genre>indie-rock production</genre>,1
35,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"Phoebe Bridgers produces a <genre>far more gorgeous, vaporous junk</genre> <instrumentation>piano</instrumentation> take",1
35,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,Phoebe Bridgers' delicate version <interpretation>feels like a Punisher outtake</interpretation>,1
35,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,Phoebe Bridgers (<instrumentation>piano and strings</instrumentation>),1
36,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,"a <uniqueness><uniqueness>staggering 12 versions</uniqueness></uniqueness> of ""Nothing Else Matters"" by everyone from <reputation>Miley Cyrus (appearing along with Yo-Yo Ma, Elton John, and other friends)</reputation> ... and more.",1
36,Sam Walker-Smart,Clash,https://www.clashmusic.com/reviews/v-a-the-metallica-blacklist/,"<reputation>Miley Cyrus, Elton John, the Chili's Chad Smith, and Metallica's own Robert Trujillo join forces</reputation> for an absolutely stacked cover of 'Nothing Else Matters,' Cyrus channeling Stevie Nicks for some <proficiency>serious 80s wind-machine worthy epicness</proficiency>.",1
36,Roisin O'Connor & Elizabeth Aubrey,The Independent,https://www.independent.co.uk/arts-entertainment/music/reviews/metallica-blacklist-review-common-album-b1916443.html,"We'd already seen Miley Cyrus spark calls for her to abandon pop altogether in favour of a new era as a fully fledged rock star, thanks to her <reputation>Glastonbury performance of ""Nothing Else Matters""</reputation>. Her recorded version is just as impressive[.]",1
36,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,"worth checking out, [...] <reputation>Miley Cyrus' fascinating mess—featuring six artists including Elton John, Yo-Yo Ma, and Chad Smith</reputation>",1
36,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,<reputation>Miley Cyrus's collaboration with Elton John and others</reputation> on Nothing Else Matters is one of the more memorable tracks,1
36,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"All the attention is right on the centre of the album. It's where <reputation>Miley Cyrus, Elton John, Yo-yo Ma and Chad Smith of Red Hot Chili Peppers deliver the star take</reputation>. Miley Cyrus has reinvented herself several times at this point, but her recent transformation into The Hard Rock Queen of Karaoke has been unexpected and genuinely great. She has a harsh edge on her voice that has been hiding up to this point, a <interpretation>bluesy rasp that calls to mind PJ Harvey, Courtney Barnett and James Hetfield's own bark</interpretation>. As their version of ""Nothing Else Matters"" swells to its climax, it's clear that this is the only track on The Blacklist that can actually be compared to the original.",1
36,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"The <reputation>marquee names are instantly apparent: Miley Cyrus ropes in Elton John and Chad Smith (among others)</reputation>, complete with <composition>unnecessary violin solo</composition>",-1
36,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,Miley Cyrus <reputation>enlists Elton John and Yo-Yo Ma for no reason other than she can</reputation>,1
36,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,"Current covers queen Miley Cyrus assembles an <reputation>all-star cast for her version,
including Eton John, Red Hot Chili Peppers drummer Chad Smith and current Metallica bassist Robert Trujillo,</reputation> her voice at the <proficiency>perfect grit</proficiency> for the iconic ballad.",1
37,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"<reputation>Depeche Mode's Dave Gahan</reputation> was born to sing it, swathed in an <genre>electronic miasma</genre>.",1
37,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,<reputation>Depeche Mode singer Dave Gahan</reputation> (<genre>maximum lounge crooner</genre>),1
42,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,a <uniqueness><uniqueness>staggering 12 versions</uniqueness></uniqueness> of "Nothing Else Matters" by everyone from ... My Morning Jacket ... and more.,1
42,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,My Morning Jacket turning it into a <genre>lighthearted ditty</genre> that's ready-made for car commercials.,-1
42,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"But the bottom has to be My Morning Jacket, who turn ""Nothing Else Matters"" into a <genre>pop rock tune that sounds weak and lacking</genre> in bite at the same time. It's the soundtrack to a bad commercial interrupting your YouTube playlist.",-1
42,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Kudos to My Morning Jacket and (oh yes) Roxette for banging out <genre>pop versions below four minutes</genre>,1
42,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,My Morning Jacket (<reputation>couldn't sound more MMJ</reputation>),1
43,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,"<reputation>Swedish pop pioneers Roxette</reputation> (do the rest, please)",1
44,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,a <uniqueness><uniqueness>staggering 12 versions</uniqueness></uniqueness> of "Nothing Else Matters" by everyone from ... Darius Rucker and more.,1
44,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,Darius Rucker (<genre>frat dude country in full Nashvegas mode</genre>),1
45,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,Chris Stapleton's has a <composition>cool jam at the end</composition>,1
