Genre,Category,Occurrances,Artists,Percent Female,Average Age
"indie surf",Alternative / Indie,1,"Cherry Glazerr",38.0,31.5
"french indie pop",Pop,1,"Izïa",45.9,34.6
"french pop",Pop,1,"Izïa",56.0,34.8
"french rock",Rock,1,"Izïa",33.1,38.7
"nouvelle chanson francaise",Misc.,1,"Izïa",50.4,39.4
"afrofuturism",Misc.,1,"Kamasi Washington",34.0,33.4
"contemporary jazz",Classical / Jazz,1,"Kamasi Washington",23.4,41.2
"jazz",Classical / Jazz,1,"Kamasi Washington",25.5,41.0
"jazz saxophone",Classical / Jazz,1,"Kamasi Washington",26.0,42.5
"acoustic rock",Rock,1,"Rodrigo y Gabriela",26.3,36.0
"world",Misc.,1,"Rodrigo y Gabriela",38.3,39.0
