Name,ID,Spotify Profile,Genres,Image URL,Popularity
OFF!,4fY9hRf8gHMOszNWFhR1wB,https://open.spotify.com/artist/4fY9hRf8gHMOszNWFhR1wB,"",https://i.scdn.co/image/ab6761610000e5eb57688e3e37f87319bfd0e891,30
PUP,6A7uqgC2N1nUhrCLAytHxN,https://open.spotify.com/artist/6A7uqgC2N1nUhrCLAytHxN,"",https://i.scdn.co/image/ab6761610000e5eb3c01e2c45dcbdca5a953b469,48
Corey Taylor,0nhDd1RWjZ6SDV1Vg1Ku2Q,https://open.spotify.com/artist/0nhDd1RWjZ6SDV1Vg1Ku2Q,"",https://i.scdn.co/image/ab6761610000e5eb010a6b118f23106c00bef4a9,54
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3,"",https://i.scdn.co/image/ab6761610000e5eb4b895ec91da05e35c650fa60,73
Vishal Dadlani,6CXEwIaXYfVJ84biCxqc9k,https://open.spotify.com/artist/6CXEwIaXYfVJ84biCxqc9k,"",https://i.scdn.co/image/ab6761610000e5eb76328e37a2c1280ab9adb90c,71
DIVINE,4Ai0pGz6GhQavjzaRhPTvz,https://open.spotify.com/artist/4Ai0pGz6GhQavjzaRhPTvz,"",https://i.scdn.co/image/ab6761610000e5ebe4bae1cd1803402a906b61ba,66
Shor Police,58Wsx9FbcjSM8a6kzLf03W,https://open.spotify.com/artist/58Wsx9FbcjSM8a6kzLf03W,"",https://i.scdn.co/image/ab6761610000e5eb296cb8cb713b666b22df731d,17
Shor Police,58Wsx9FbcjSM8a6kzLf03W,https://open.spotify.com/artist/58Wsx9FbcjSM8a6kzLf03W,"",https://i.scdn.co/image/ab6761610000e5eb296cb8cb713b666b22df731d,17
Diet Cig,6ommlbuccgdiKSgjvVlQ4W,https://open.spotify.com/artist/6ommlbuccgdiKSgjvVlQ4W,"",https://i.scdn.co/image/ab6761610000e5eb9a0962323fbf23d1e625f3d1,27
Flatbush Zombies,1dqGS5sT6PE2wEvP1gROZC,https://open.spotify.com/artist/1dqGS5sT6PE2wEvP1gROZC,"",https://i.scdn.co/image/ab6761610000e5eb48807b66b83a3ce51ee9504f,53
DJ Scratch,4vBBOm1tR7WToK4DZmDZAd,https://open.spotify.com/artist/4vBBOm1tR7WToK4DZmDZAd,"",https://i.scdn.co/image/ab6761610000e5ebb886d90aafad5d8ad5e96e13,22
DJ Scratch,4vBBOm1tR7WToK4DZmDZAd,https://open.spotify.com/artist/4vBBOm1tR7WToK4DZmDZAd,"",https://i.scdn.co/image/ab6761610000e5ebb886d90aafad5d8ad5e96e13,22
Ha*Ash,5xd2Tg7Zo8755eCy8Gxkp8,https://open.spotify.com/artist/5xd2Tg7Zo8755eCy8Gxkp8,"",https://i.scdn.co/image/ab6761610000e5ebaae7c43a4f71d534555d6e36,72
José Madero,62nVRNDLaS8m1p31F6omGw,https://open.spotify.com/artist/62nVRNDLaS8m1p31F6omGw,"",https://i.scdn.co/image/ab6761610000e5eb3ed411c2b88b61821064dd7c,61
Moses Sumney,5W10uJRsbt9bROJDKoI1Wn,https://open.spotify.com/artist/5W10uJRsbt9bROJDKoI1Wn,"",https://i.scdn.co/image/ab6761610000e5ebfd650ed577201c1fe030e293,56
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,"",https://i.scdn.co/image/ab6761610000e5ebeacb832512fec776bbdac3a6,84
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,"",https://i.scdn.co/image/ab6761610000e5ebeacb832512fec776bbdac3a6,84
Chase & Status,3jNkaOXasoc7RsxdchvEVq,https://open.spotify.com/artist/3jNkaOXasoc7RsxdchvEVq,"",https://i.scdn.co/image/ab6761610000e5ebd99e4a93d2db662b7a9325be,67
BackRoad Gee,51op6E2hjkeutwFhgw32mL,https://open.spotify.com/artist/51op6E2hjkeutwFhgw32mL,"",https://i.scdn.co/image/ab6761610000e5eb8b5fed9e517dfb8ac3a7c39c,39
BackRoad Gee,51op6E2hjkeutwFhgw32mL,https://open.spotify.com/artist/51op6E2hjkeutwFhgw32mL,"",https://i.scdn.co/image/ab6761610000e5eb8b5fed9e517dfb8ac3a7c39c,39
The Neptunes,0KuF7reCTOZwV7YJnHQqgr,https://open.spotify.com/artist/0KuF7reCTOZwV7YJnHQqgr,"",https://i.scdn.co/image/ab6761610000e5ebcf7dcb181fc5db70e2252aac,54
The Neptunes,0KuF7reCTOZwV7YJnHQqgr,https://open.spotify.com/artist/0KuF7reCTOZwV7YJnHQqgr,"",https://i.scdn.co/image/ab6761610000e5ebcf7dcb181fc5db70e2252aac,54
Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,https://open.spotify.com/artist/4MoAOfV4ROWofLG3a3hhBN,"",https://i.scdn.co/image/ab6761610000e5eb9ab434ef1b8d8aff5fce625d,72
SebastiAn,5tOWIviwLM1EIqGAbF8VSU,https://open.spotify.com/artist/5tOWIviwLM1EIqGAbF8VSU,"",https://i.scdn.co/image/ab6761610000e5ebfea5e67c21857e7c997d3efc,40
SebastiAn,5tOWIviwLM1EIqGAbF8VSU,https://open.spotify.com/artist/5tOWIviwLM1EIqGAbF8VSU,"",https://i.scdn.co/image/ab6761610000e5ebfea5e67c21857e7c997d3efc,40
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,https://open.spotify.com/artist/4kI8Ie27vjvonwaB2ePh8T,"",https://i.scdn.co/image/ab6761610000e5ebe20c61457ea3c2fdef20c326,64
Aaron Beam,3jD4LaXdTKzJJuarvH62mj,https://open.spotify.com/artist/3jD4LaXdTKzJJuarvH62mj,"",,11
Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,https://open.spotify.com/artist/0L5fC7Ogm2YwgqVCRcF1bT,"",https://i.scdn.co/image/ab6761610000e5eb50d73f9e78c8351bde9e7324,67
The HU,0b2B3PwcYzQAhuJacmcYgc,https://open.spotify.com/artist/0b2B3PwcYzQAhuJacmcYgc,"",https://i.scdn.co/image/ab6761610000e5eb2ccdc24acf91ba14b1b2273a,54
Tomi Owó,21EqvfrgEecTOZtKffQ82k,https://open.spotify.com/artist/21EqvfrgEecTOZtKffQ82k,"",https://i.scdn.co/image/ab6761610000e5eb631eae835f623c0efd0f4ffa,27
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG,"",https://i.scdn.co/image/ab6761610000e5eb626686e362d30246e816cc5b,75
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,"",https://i.scdn.co/image/ab6761610000e5ebb4ba86c361191d48cbeb4b32,82
WATT,4olE3I5QU0dvSR7LIpqTXc,https://open.spotify.com/artist/4olE3I5QU0dvSR7LIpqTXc,"",https://i.scdn.co/image/ab6761610000e5eb0bd101b7d708edeb1c915452,56
Elton John,3PhoLpVuITZKcymswpck5b,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,"",https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,81
Yo-Yo Ma,5Dl3HXZjG6ZOWT5cV375lk,https://open.spotify.com/artist/5Dl3HXZjG6ZOWT5cV375lk,"",https://i.scdn.co/image/ab6761610000e5ebfb0fcd51414e7bbe85e00b6f,63
Robert Trujillo,3rROvEsUJJ9y55g1PLaA16,https://open.spotify.com/artist/3rROvEsUJJ9y55g1PLaA16,"",https://i.scdn.co/image/ab6761610000e5eb88c4ea3e867352dc49ed9990,43
Chad Smith,4DW34vji6G9GgGY0k2mic7,https://open.spotify.com/artist/4DW34vji6G9GgGY0k2mic7,"",https://i.scdn.co/image/894c20ff4cd06d43481fe9dfd23d3c4a20ed8cc3,42
Dave Gahan,7hKXTmrq3ZppBx881yBbOr,https://open.spotify.com/artist/7hKXTmrq3ZppBx881yBbOr,"",https://i.scdn.co/image/ab6761610000e5ebe0c36cc7f070ba1e9e3ec598,37
Mickey Guyton,6nfN5B7Jmi853SHa9106Hz,https://open.spotify.com/artist/6nfN5B7Jmi853SHa9106Hz,"",https://i.scdn.co/image/ab6761610000e5eb9dcf643ba343be26ea263251,45
Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,https://open.spotify.com/artist/5KNNVgR6LBIABRIomyCwKJ,"",https://i.scdn.co/image/ab6761610000e5eb01d2c1d798d01d814a830430,68
Mon Laferte,4boI7bJtmB1L3b1cuL75Zr,https://open.spotify.com/artist/4boI7bJtmB1L3b1cuL75Zr,"",https://i.scdn.co/image/ab6761610000e5eb2a89a5ad55e1cb241440afef,72
Igor Levit,0japPUWMmW3gxqjSB1VEVL,https://open.spotify.com/artist/0japPUWMmW3gxqjSB1VEVL,"",https://i.scdn.co/image/ab6761610000e5ebb73d9e5ace360251d37ee688,49
My Morning Jacket,43O3c6wewpzPKwVaGEEtBM,https://open.spotify.com/artist/43O3c6wewpzPKwVaGEEtBM,"",https://i.scdn.co/image/ab6761610000e5eb236c35f5215954e1f9a2f1c6,50
PG Roxette,3k87PFuum7Sv7zzjw7BMIg,https://open.spotify.com/artist/3k87PFuum7Sv7zzjw7BMIg,"",https://i.scdn.co/image/ab6761610000e5ebc37d08000973f53edf170bbf,32
Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,https://open.spotify.com/artist/7FY5V3XMwlNBPitEjXowHQ,"",https://i.scdn.co/image/ab6761610000e5eb17f1bb8128fc6e637e4240d7,65
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,https://open.spotify.com/artist/4YLtscXsxbVgi031ovDDdh,"",https://i.scdn.co/image/ab6761610000e5eba0c87c8f329b436eac8b9784,80
TRESOR,5tYaRVYbV1anmzyxqMVdHi,https://open.spotify.com/artist/5tYaRVYbV1anmzyxqMVdHi,"",https://i.scdn.co/image/ab6761610000e5eb4f6f3e52105bcde281f7caca,36
Goodnight, Texas,5ammRFhN6wQXM30xlhndC5,https://open.spotify.com/artist/5ammRFhN6wQXM30xlhndC5,"",https://i.scdn.co/image/ab6761610000e5eb688262afc64a9b58f08bf97f,46
IDLES,75mafsNqNE1WSEVxIKuY5C,https://open.spotify.com/artist/75mafsNqNE1WSEVxIKuY5C,"",https://i.scdn.co/image/ab6761610000e5ebd432d36ca35d0b7a6bf82cef,59
Imelda May,6AnjHMqEAps8VJdHU8RykH,https://open.spotify.com/artist/6AnjHMqEAps8VJdHU8RykH,"",https://i.scdn.co/image/ab6761610000e5eb05e7fbb041780e87e8a625d2,43
Cherry Glazerr,3pIGm1omCcHIb1juBNHspg,https://open.spotify.com/artist/3pIGm1omCcHIb1juBNHspg,"",https://i.scdn.co/image/ab6761610000e5ebbe4108c674ad29f8440c67d2,41
Izïa,6T08mUIMB32dtqq5ryxQZ3,https://open.spotify.com/artist/6T08mUIMB32dtqq5ryxQZ3,"",https://i.scdn.co/image/ab6761610000e5ebb298576bc0bdf9ae3fd5f775,45
Kamasi Washington,6HQYnRM4OzToCYPpVBInuU,https://open.spotify.com/artist/6HQYnRM4OzToCYPpVBInuU,"",https://i.scdn.co/image/ab6761610000e5ebefa4712d1cdf27fd2869a396,54
Rodrigo y Gabriela,7vX3cMVyW8gtDA4y855ynF,https://open.spotify.com/artist/7vX3cMVyW8gtDA4y855ynF,"",https://i.scdn.co/image/ab6761610000e5ebaf824664934f599fa2601a40,47
